"","x"
"1","Gnb4"
"2","Hmgb3"
"3","Gemin8"
"4","Mis18a"
"5","Akip1"
"6","Lgals9"
"7","Samd14"
"8","Rab37"
"9","Gmpr"
"10","Ptp4a2"
"11","Hmbs"
"12","Gm10123"
"13","Ccnd3"
"14","Parm1"
"15","Rnase6"
"16","Zwint"
"17","Itgb2"
"18","Nfyb"
"19","Cmc2"
"20","Parvb"
"21","Arap3"
"22","Nucks1"
