"","x"
"1","Tph1"
"2","Mrgprb2"
"3","Tcf7"
"4","Slc22a4"
"5","Rassf4"
"6","Alas1"
"7","Tpsab1"
"8","Tpsb2"
"9","Cma1"
"10","Mcpt4"
"11","Themis"
"12","9430069I07Rik"
"13","Ap3s1"
"14","Fcer1g"
"15","Fut8"
